file_name,path,cluster_id,sample_rate,channels,sample_width,frame_count,duration_s,trimmed_duration_s,trim_start_frame,trim_end_frame,peak_abs,rms,crest_factor,zero_crossing_rate,silence_ratio,trimmed_fraction,burst_count,spectral_centroid_hz,spectral_bandwidth_hz,spectral_flatness,dominant_freq_hz,low_band_ratio,mid_band_ratio,high_band_ratio,provisional_tags
1275.wav,/Users/markhartley/.cache/kagglehub/datasets/alecledoux/fart-recordings-dataset/versions/12/fart_dataset/1275.wav,2,44100,1,2,193514,4.388072562358277,4.254807256235828,5865,193502,0.999969482421875,0.05027100443840027,19.89157554325756,0.06802126988884467,0.876324193598396,0.030369895718139306,9,733.883754368062,1065.3362196784663,0.0055495362769264174,94.88067626953125,0.40904663637574207,0.5636375396675961,0.027315823956661846,sustained|staccato|low-heavy|tonal|peaky
1341.wav,/Users/markhartley/.cache/kagglehub/datasets/alecledoux/fart-recordings-dataset/versions/12/fart_dataset/1341.wav,2,44100,1,2,189930,4.306802721088435,4.142993197278911,3443,186149,1.0,0.07685915380716324,13.010811991359713,0.10992528787073064,0.8419838888011373,0.038035065550465985,5,1453.000820909653,4868.24355266511,0.01620068565943725,87.4786376953125,0.9064059481544289,0.01905167735557558,0.07454237448999537,sustained|staccato|low-heavy
1354.wav,/Users/markhartley/.cache/kagglehub/datasets/alecledoux/fart-recordings-dataset/versions/12/fart_dataset/1354.wav,4,44100,1,2,71658,1.6248979591836734,1.3154875283446712,3082,61095,1.0,0.07859937101602554,12.722748122196945,0.054705053239739315,0.8470373161405566,0.19041837617572355,2,692.2132473300925,1429.1221419158792,0.01023762107232707,207.52762311895611,0.3753030419883871,0.5641041171006485,0.06059284091096456,mid-length|low-heavy|tonal
1364.wav,/Users/markhartley/.cache/kagglehub/datasets/alecledoux/fart-recordings-dataset/versions/12/fart_dataset/1364.wav,0,44100,1,2,89578,2.03124716553288,1.6356235827664398,4332,76463,1.0,0.049695175141096115,20.122677848720087,0.0654632327494781,0.8615285003014133,0.1947688048404742,3,975.6266163293353,2299.542469853784,0.03344307462425975,58.54339599609375,0.2752458858790544,0.6483960387677503,0.07635807535319525,mid-length|peaky
1426.wav,/Users/markhartley/.cache/kagglehub/datasets/alecledoux/fart-recordings-dataset/versions/12/fart_dataset/1426.wav,2,44100,1,2,78826,1.787437641723356,0.9198185941043084,3651,44215,1.0,0.08241128921508789,12.134259875368139,0.04371709483032033,0.7703803313627483,0.4853982188617969,1,209.74829832359933,1129.102152955692,0.0038747504953238815,86.97367123557834,0.9199229177698404,0.07389136104324363,0.006185721186916171,mid-length|single-roll|low-heavy|tonal|long-tail
1434.wav,/Users/markhartley/.cache/kagglehub/datasets/alecledoux/fart-recordings-dataset/versions/12/fart_dataset/1434.wav,0,44100,1,2,100330,2.275056689342404,1.3600226757369616,13569,73546,1.0,0.0641438215970993,15.58996603416005,0.16829630515603664,0.9241104355626433,0.4022027309877405,3,732.0070938932062,2236.3207321943346,0.01826645267120295,183.08518265335044,0.39063030104889046,0.565580418404389,0.043789280546720516,mid-length|low-heavy|sparse
1438.wav,/Users/markhartley/.cache/kagglehub/datasets/alecledoux/fart-recordings-dataset/versions/12/fart_dataset/1438.wav,0,44100,1,2,71658,1.6248979591836734,1.5459183673469388,2948,71123,1.0,0.06529650092124939,15.314756317586548,0.1763679752152616,0.8522984174830445,0.04860587792012061,2,1013.736253390874,1770.5539417605323,0.019204618108615717,401.055908203125,0.17844208006707166,0.7563299466755151,0.06522797325741318,mid-length
1454.wav,/Users/markhartley/.cache/kagglehub/datasets/alecledoux/fart-recordings-dataset/versions/12/fart_dataset/1454.wav,4,44100,1,2,68074,1.5436281179138323,1.462063492063492,3597,68074,1.0,0.09273321181535721,10.783623045334807,0.08637785906306465,0.7644181332079796,0.052839556952727906,3,833.7414191660865,977.977234468676,0.004555534154268635,370.70893496905876,0.08431865434002433,0.900289281078854,0.01539206458112156,mid-length|tonal
1461.wav,/Users/markhartley/.cache/kagglehub/datasets/alecledoux/fart-recordings-dataset/versions/12/fart_dataset/1461.wav,0,44100,1,2,143338,3.250294784580499,2.925396825396825,10372,139382,1.0,0.07222113013267517,13.846363220333597,0.08854657206443556,0.8259638058295776,0.09995953620114695,6,1444.885362090867,3451.1622949476805,0.045731767022146284,469.6929931640625,0.14751111376361825,0.7428561299322086,0.10963275630417306,sustained|staccato
1513.wav,/Users/markhartley/.cache/kagglehub/datasets/alecledoux/fart-recordings-dataset/versions/12/fart_dataset/1513.wav,4,44100,1,2,93162,2.112517006802721,2.009591836734694,4538,93161,0.999969482421875,0.06570015847682953,15.220198940228343,0.07280943742553214,0.8753783731564372,0.04872158176080377,2,695.0296997507344,679.7521158346967,0.0017082723865128656,671.5667724609375,0.10861035799525251,0.8878210793107134,0.003568562694033915,sustained|tonal
1532.wav,/Users/markhartley/.cache/kagglehub/datasets/alecledoux/fart-recordings-dataset/versions/12/fart_dataset/1532.wav,0,44100,1,2,75242,1.7061678004535148,1.4500907029478458,4234,68183,1.0,0.0626119077205658,15.971402827445479,0.07002830903363857,0.8538847983838813,0.15008904601153616,3,1358.7848834380086,2609.6345680415216,0.0477275969549631,262.0525731442243,0.04026717223589545,0.8115880374714413,0.1481447902926634,mid-length
1538.wav,/Users/markhartley/.cache/kagglehub/datasets/alecledoux/fart-recordings-dataset/versions/12/fart_dataset/1538.wav,4,44100,1,2,68074,1.5436281179138323,1.3051927437641724,3963,61522,1.0,0.0644528716802597,15.515212494500457,0.0652387877719507,0.7871140229749978,0.154464259482328,2,769.7816398053137,1182.9391890840852,0.007467948754521029,49.03490331659688,0.187758133083993,0.7973416967848002,0.014900170131206734,mid-length|tonal
1601.wav,/Users/markhartley/.cache/kagglehub/datasets/alecledoux/fart-recordings-dataset/versions/12/fart_dataset/1601.wav,4,44100,1,2,164842,3.7379138321995464,3.603877551020408,5911,164842,1.0,0.08287706226110458,12.06606475564367,0.06600906327915992,0.7355406995789908,0.03585857973089379,12,1130.8738276574982,1233.161571679113,0.010472795724807134,960.919189453125,0.02429843064593281,0.9315105516159381,0.044191017738129106,sustained|staccato|tonal
1632.wav,/Users/markhartley/.cache/kagglehub/datasets/alecledoux/fart-recordings-dataset/versions/12/fart_dataset/1632.wav,2,44100,1,2,168426,3.8191836734693876,3.7243990929705215,4180,168426,1.0,0.08238209038972855,12.138560641873209,0.06315570728811043,0.6499471578022396,0.024818020970634014,14,766.2775736475373,938.782518875148,0.004019113916145318,57.19757080078125,0.3466194404156649,0.6233568756101753,0.03002368397415997,sustained|staccato|low-heavy|tonal
1668.wav,/Users/markhartley/.cache/kagglehub/datasets/alecledoux/fart-recordings-dataset/versions/12/fart_dataset/1668.wav,0,44100,1,2,111082,2.5188662131519273,2.4398866213151926,3483,111082,1.0,0.06952908635139465,14.382470020475703,0.09042050395657224,0.8152986082353577,0.03135521506634742,3,1270.9620731589537,2457.9212208561635,0.025433300151679047,577.3590087890625,0.06309794252111339,0.8798086758546679,0.05709338162421878,sustained
1693.wav,/Users/markhartley/.cache/kagglehub/datasets/alecledoux/fart-recordings-dataset/versions/12/fart_dataset/1693.wav,2,44100,1,2,161258,3.6566439909297053,3.5428117913832198,5020,161258,1.0,0.05524999275803566,18.099549883733843,0.060908983796052266,0.8883652283917697,0.03113023849979535,8,680.3268176790887,1621.3393037214728,0.00887343955816249,67.96417236328125,0.331270370439829,0.6491254061089421,0.019604223451229016,sustained|staccato|low-heavy|tonal|sparse|peaky
1717.wav,/Users/markhartley/.cache/kagglehub/datasets/alecledoux/fart-recordings-dataset/versions/12/fart_dataset/1717.wav,2,44100,1,2,118250,2.68140589569161,1.9963038548752834,3828,91865,1.0,0.04371087625622749,22.877601312271334,0.0674255173405272,0.9007780126849895,0.2555010570824524,8,257.98195656121925,1754.3948217835234,0.006346798621155382,62.58087158203125,0.9627538974944007,0.02571640647280663,0.011529696032792646,mid-length|staccato|low-heavy|tonal|sparse|peaky
1759.wav,/Users/markhartley/.cache/kagglehub/datasets/alecledoux/fart-recordings-dataset/versions/12/fart_dataset/1759.wav,0,44100,1,2,96746,2.193786848072562,1.9617006802721089,5253,91764,0.999969482421875,0.03888874128460884,25.713598573519196,0.1397178148741537,0.9521840696256176,0.10579248754470472,3,1737.5045279231124,3254.6293229739154,0.05392097259667634,260.41717529296875,0.18892432618464258,0.6006727685378608,0.21040290527749653,mid-length|sparse|peaky
1867.wav,/Users/markhartley/.cache/kagglehub/datasets/alecledoux/fart-recordings-dataset/versions/12/fart_dataset/1867.wav,0,44100,1,2,85994,1.9499773242630385,1.473310657596372,4650,69623,1.0,0.03723069280385971,26.859559269236318,0.16443198865023897,0.9460892620415378,0.2444472870200246,3,1355.676153886133,3669.9649217651972,0.04465280927133046,115.38639127021993,0.3226868838498301,0.5817065230693392,0.09560659308083065,mid-length|low-heavy|sparse|peaky
1911.wav,/Users/markhartley/.cache/kagglehub/datasets/alecledoux/fart-recordings-dataset/versions/12/fart_dataset/1911.wav,2,44100,1,2,143338,3.250294784580499,3.0178004535147394,5183,138268,1.0,0.0772179514169693,12.950356512310186,0.20475522719186254,0.8645160390126833,0.07153022924835006,2,1122.90802570155,4033.606308593093,0.0377600051686157,46.43096923828125,0.8717348915178067,0.052913092127901046,0.07535201635429256,sustained|low-heavy|buzzy
1980.wav,/Users/markhartley/.cache/kagglehub/datasets/alecledoux/fart-recordings-dataset/versions/12/fart_dataset/1980.wav,0,44100,1,2,89578,2.03124716553288,0.9145351473922902,7970,48301,1.0,0.06341993808746338,15.767911955714702,0.09474530292374159,0.9039384670343165,0.5497666837839648,2,1495.8007014116627,3268.737277243593,0.04903636926887416,305.0730207532667,0.009004081829288201,0.8762526329815686,0.11474328518914324,mid-length|long-tail|sparse
2061.wav,/Users/markhartley/.cache/kagglehub/datasets/alecledoux/fart-recordings-dataset/versions/12/fart_dataset/2061.wav,2,44100,1,2,308202,6.988707482993197,6.506167800453515,17584,304506,1.0,0.09282384067773819,10.773094419479548,0.17214090804377663,0.6901058396765758,0.06904562592066243,6,273.514829366386,1705.118570405731,0.005401828041420371,76.03912353515625,0.9733663397933444,0.015365200490935272,0.01126845971572002,sustained|staccato|low-heavy|tonal
211.wav,/Users/markhartley/.cache/kagglehub/datasets/alecledoux/fart-recordings-dataset/versions/12/fart_dataset/211.wav,4,44100,1,2,82410,1.8687074829931973,1.7975736961451247,2987,82260,1.0,0.08733244985342026,11.450497514708577,0.05165697921343543,0.6498604538284188,0.03806576871738865,2,898.743870295582,1310.6367411588917,0.010182454265408855,245.61309814453125,0.1910287343053143,0.7253479139609588,0.08362335173372683,mid-length|tonal
2323.wav,/Users/markhartley/.cache/kagglehub/datasets/alecledoux/fart-recordings-dataset/versions/12/fart_dataset/2323.wav,2,44100,1,2,125418,2.8439455782312923,2.7743310657596374,3070,125418,1.0,0.10234668850898743,9.77071182827949,0.02276405909884625,0.5657401648886125,0.02447814508284296,1,145.5682427185289,437.4495274931184,0.0007885956650542664,81.42242431640625,0.8467669930821748,0.15179635863712646,0.0014366482806989899,sustained|single-roll|low-heavy|tonal
